Gender,FavSeason,WritingHand,Year,College,Domestic,FromMinnesota,OnCampus,Shower,Movie,Hair,FavSocialMedia,HoursSpentOnSocialMedia,HoursExercise,HoursClasses,SleepWeekday,SleepWeekend,LegalizingMarijuana,HighSchoolGPA,CollegeGPA,Tattoos,TrafficTickets,TextWhileDriving,Chocholate
Female,Fall,Right,Freshman,CBS,U.S.,No,Yes,Evening,None,200,TikTok,2,2,2,8,8,Yes,4,0,2,1,Yes,15
Female,Fall,Right,Freshman,CBS,U.S.,Yes,Yes,Depends,None,0,TikTok,3,1,5,6,9,Yes,3.7,0,0,0,No,17
Female,Summer,Right,Junior,CBS,U.S.,Yes,No,Evening,1,0,Instagram,2,1,8,8,12,No,3.8,3.5,0,0,No,21
Female,Fall,Right,Freshman,CBS,U.S.,No,Yes,Depends,4 or more,180,TikTok,4,1,7,6,8,Yes,3.9,0,1,0,Yes,23
Female,Fall,Right,Junior,CBS,U.S.,No,Yes,Evening,None,0,TikTok,3,0,5,6,7,Yes,3.99,3.89,0,0,No,27
Female,Fall,Right,Junior,CBS,U.S.,Yes,Yes,Evening,None,65,YouTube,1,1,5,8,8,Yes,3.56,3.76,0,0,No,30
Male,Fall,Right,Sophomore,CBS,U.S.,Yes,No,Morning,None,0,Others,2,1,4,8,8,Yes,4,3.87,0,0,No,30
Male,Winter,Right,Freshman,CBS,U.S.,No,Yes,Evening,None,0,YouTube,2,1,4,8,10,Yes,3.93,0,0,-1,No,30
Female,Winter,Right,Sophomore,CBS,U.S.,Yes,Yes,Depends,1,45,Instagram,1,1,6,8,9,No,4,3.7,0,0,No,31
Male,Summer,Right,Sophomore,CBS,U.S.,No,Yes,Morning,1,25,Others,2,1.5,4,7,8,Not sure,4,3.71,0,0,No,31
Male,Winter,Right,Freshman,CBS,U.S.,No,Yes,Evening,None,48,YouTube,2,1.5,3,8,8,Not sure,4,0,0,1,No,32
Male,Spring,Right,Freshman,CBS,U.S.,No,Yes,Morning,2,30,Instagram,3,2,3,7,6,Yes,4,0,0,1,No,32
Female,Fall,Right,Senior,CBS,U.S.,Yes,Yes,Depends,None,300,TikTok,4,1,2,6,5,Yes,3.6,3.6,5,3,Yes,32
Male,Fall,Right,Sophomore,CBS,U.S.,Yes,Yes,Morning,1,14,YouTube,2,2,6,8,9,No,4,3.2,0,0,No,34
Female,Fall,Right,Sophomore,CBS,U.S.,Yes,No,Evening,None,0,TikTok,3,1,14,7,8,Not sure,0,3.857,0,0,No,34
Female,Fall,Right,Sophomore,CBS,U.S.,Yes,Yes,Evening,None,30,Instagram,1,1,4,8,9,Yes,4,3.2,0,0,No,35
Female,Spring,Right,Freshman,CBS,U.S.,No,Yes,Depends,1,40,Instagram,2,2,4,7,9,Yes,4,0,0,1,Yes,35
Male,Fall,Right,Junior,CBS,U.S.,Yes,No,Depends,None,65,YouTube,2,0,2,7,7,Yes,3.5,3.5,0,-1,No,35
Female,Fall,Right,Sophomore,CBS,U.S.,Yes,No,Evening,None,200,Instagram,2,2,6,6,7,Yes,3.51,3.2,0,1,Yes,35
Female,Fall,Right,Senior,CBS,U.S.,Yes,No,Evening,None,50,Instagram,4,1.5,4,5,7,Yes,4,3.2,2,0,No,35
Male,Fall,Right,Sophomore,CBS,U.S.,Yes,Yes,Evening,1,36,Instagram,2,2,3,7,9,Yes,3.9,3.4,0,0,No,36
Female,Summer,Right,Sophomore,CBS,U.S.,Yes,Yes,Evening,None,300,TikTok,4,1.5,4,6,8,Not sure,3.98,3.357,6,0,No,36
Male,Fall,Right,Freshman,CBS,U.S.,Yes,Yes,Evening,None,30,TikTok,3,2,6,9,10,Yes,4,4,0,0,Yes,37
Female,Fall,Right,Junior,CBS,U.S.,Yes,Yes,Morning,None,75,TikTok,4,2,8,5,7,Yes,3.81,3.6,0,0,No,37
Female,Fall,Right,Freshman,CBS,U.S.,Yes,Yes,Depends,1,0,Others,5,7,4,7,8,Yes,4,0,0,0,No,37
Male,Fall,Right,Sophomore,CBS,U.S.,Yes,No,Morning,2,40,TikTok,6,2,2,7,6,Not sure,3.3,3.45,0,0,Yes,37
Female,Fall,Right,Sophomore,CBS,U.S.,Yes,Yes,Depends,2,350,TikTok,3,0.6,8,7,9,Not sure,3.89,3.5,2,0,Yes,38
Female,Summer,Right,Sophomore,CBS,U.S.,Yes,Yes,Evening,2,200,TikTok,3,1,4,6,8,Yes,4,3.75,2,0,Yes,39
Male,Fall,Right,Freshman,CBS,U.S.,Yes,Yes,Morning,None,60,YouTube,1,2,3,7,8,Yes,3.9,0,0,0,No,40
Male,Spring,Right,Sophomore,CBS,U.S.,No,No,Evening,None,0,YouTube,2,1,2,8,8,Yes,3.5,3.7,0,3,Yes,40
Male,Spring,Right,Freshman,CBS,U.S.,No,Yes,Morning,1,20,TikTok,2,1,3,7,9,Yes,3.95,0,0,-1,No,40
Female,Fall,Right,Sophomore,CBS,U.S.,No,Yes,Evening,None,170,TikTok,2,1,3,8,6,Yes,4,3.2,0,0,Yes,40
Female,Fall,Right,Sophomore,CBS,International,Yes,Yes,Depends,2,12,Instagram,3,0.5,7,5,7,Not sure,3.8,3.7,0,0,No,40
Female,Spring,Right,Freshman,CBS,U.S.,Yes,No,Evening,1,50,TikTok,3,1,6,7,11,Not sure,3.9,0,0,0,No,40
Female,Summer,Right,Junior,CBS,U.S.,Yes,No,Morning,None,40,TikTok,4,2,5,6,7,Not sure,4,2.8,0,0,No,40
Male,Winter,Right,Freshman,CBS,U.S.,Yes,No,Depends,1,18,TikTok,5,0,5,6,12,Not sure,3.6,0,0,0,No,40
Female,Winter,Right,Junior,CBS,U.S.,Yes,Yes,Evening,1,40,TikTok,5,1,4,7,8,Yes,4,3.5,1,0,Yes,40
Male,Winter,Right,Freshman,CBS,U.S.,No,Yes,Evening,4 or more,18,TikTok,6,2,2,6,9,Yes,3.92,0,0,0,No,40
